date,site,trt,mean.burrow.diameter,mean.temp,count,count.diff,dia.diff
10/19/2020,4,Control,12.75,11.9493,1,-2,-11.09222222
10/19/2020,4,Marine.Debris,24.57333333,11.9493,3,-2,0.698333333
10/19/2020,4,Rake,0,11.9493,0,-5,-17.78
10/19/2020,5,Compact,0,11.9493,0,0,-15.738
10/19/2020,5,Control,9.74,11.9493,1,-2,-6.503333333
10/19/2020,5,Marine.Debris,14.1,11.9493,1,-1,-10.21
10/19/2020,5,Rake,25.85,11.9493,1,1,14.23333333
10/19/2020,6,Compact,23.6,11.9493,1,-3,-2.45875
10/19/2020,6,Control,31.43,11.9493,1,-4,2.056
10/19/2020,6,Marine.Debris,21.3875,11.9493,4,-3,-2.82625
10/19/2020,6,Rake,13.715,11.9493,2,-1,-10.69
10/19/2020,7,Compact,28.47,11.9493,1,-3,0.802857143
10/19/2020,7,Control,25.34,11.9493,2,-1,3.177
10/19/2020,7,Marine.Debris,37.345,11.9493,4,0,17.978
10/19/2020,7,Rake,23.86,11.9493,3,-3,-9.672666667
10/19/2020,8,Compact,0,11.9493,0,-4,-33.53
10/19/2020,8,Control,37.41,11.9493,2,-3,2.632857143
10/19/2020,8,Marine.Debris,12.225,11.9493,2,-2,-10.065
10/19/2020,8,Rake,9.23,11.9493,1,0,-13.926
10/19/2020,9,Compact,0,11.9493,0,-3,-34.6325
10/19/2020,9,Control,0,11.9493,0,-2,-14.70285714
10/19/2020,9,Marine.Debris,31.126,11.9493,5,-4,5.307111111
10/19/2020,9,Rake,26.0575,11.9493,4,-4,5.68375
10/19/2020,10,Compact,0,11.9493,0,-1,-18.13666667
10/19/2020,10,Control,12.475,11.9493,2,-2,-7.067142857
10/19/2020,10,Marine.Debris,33.47,11.9493,2,-4,10.026
10/19/2020,10,Rake,0,11.9493,0,-1,-19.40818182
10/20/2020,1,Compact,13.505,12.2442,2,0,-6.775
10/20/2020,1,Control,30.27,12.2442,1,0,11.822
10/20/2020,1,Marine.Debris,0,12.2442,0,-1,-15.3225
10/20/2020,1,Rake,0,12.2442,0,0,-22.43571429
10/20/2020,2,Compact,0,12.2442,0,-5,-27.3125
10/20/2020,2,Control,19.4175,12.2442,4,2,-7.346944444
10/20/2020,2,Marine.Debris,12.55,12.2442,1,1,-2.722
10/20/2020,2,Rake,12.97,12.2442,2,2,-12.14833333
10/20/2020,3,Compact,16.09,12.2442,1,0,-0.412857143
10/20/2020,3,Control,35.545,12.2442,2,-1,16.01785714
10/20/2020,3,Marine.Debris,24.9325,12.2442,4,0,9.4875
10/20/2020,3,Rake,0,12.2442,0,-1,-17.13714286
10/20/2020,4,Compact,12.28,12.2442,1,-2,-7.391764706
10/20/2020,4,Control,8.945,12.2442,2,1,-14.89722222
10/20/2020,4,Marine.Debris,30.455,12.2442,2,-1,6.58
10/20/2020,4,Rake,0,12.2442,0,0,-17.78
10/20/2020,5,Compact,0,12.2442,0,0,-15.738
10/20/2020,5,Control,0,12.2442,0,-1,-16.24333333
10/20/2020,5,Marine.Debris,11.17,12.2442,1,0,-13.14
10/20/2020,5,Rake,21.02,12.2442,1,0,9.403333333
10/20/2020,6,Compact,31,12.2442,1,0,4.94125
10/20/2020,6,Control,16.76666667,12.2442,3,2,-12.60733333
10/20/2020,6,Marine.Debris,21.63666667,12.2442,3,-1,-2.577083333
10/20/2020,6,Rake,10.01,12.2442,3,1,-14.395
10/20/2020,7,Compact,26.23,12.2442,1,0,-1.437142857
10/20/2020,7,Control,17.205,12.2442,4,2,-4.958
10/20/2020,7,Marine.Debris,32.04,12.2442,2,-2,12.673
10/20/2020,7,Rake,0,12.2442,0,-3,-33.53266667
10/20/2020,8,Compact,19.305,12.2442,2,2,-14.225
10/20/2020,8,Control,32.665,12.2442,2,0,-2.112142857
10/20/2020,8,Marine.Debris,10.14666667,12.2442,3,1,-12.14333333
10/20/2020,8,Rake,0,12.2442,0,-1,-23.156
10/20/2020,9,Compact,23.02,12.2442,1,1,-11.6125
10/20/2020,9,Control,19.755,12.2442,4,4,5.052142857
10/20/2020,9,Marine.Debris,16.75666667,12.2442,6,1,-9.062222222
10/20/2020,9,Rake,39.106,12.2442,5,1,18.73225
10/20/2020,10,Compact,0,12.2442,0,0,-18.13666667
10/20/2020,10,Control,46.07,12.2442,1,-1,26.52785714
10/20/2020,10,Marine.Debris,16.46,12.2442,2,0,-6.984
10/20/2020,10,Rake,20.29,12.2442,1,1,0.881818182
10/21/2020,1,Compact,16.025,13.1783,2,0,-4.255
10/21/2020,1,Control,17.62,13.1783,2,1,-0.828
10/21/2020,1,Marine.Debris,15.53666667,13.1783,3,3,0.214166667
10/21/2020,1,Rake,29.75,13.1783,1,1,7.314285714
10/21/2020,2,Compact,5.63,13.1783,2,2,-21.6825
10/21/2020,2,Control,15.58,13.1783,6,2,-11.18444444
10/21/2020,2,Marine.Debris,20.1,13.1783,2,1,4.828
10/21/2020,2,Rake,23.39,13.1783,1,-1,-1.728333333
10/21/2020,3,Compact,13.49,13.1783,2,1,-3.012857143
10/21/2020,3,Control,27.34,13.1783,4,2,7.812857143
10/21/2020,3,Marine.Debris,26.03666667,13.1783,6,2,10.59166667
10/21/2020,3,Rake,54.6,13.1783,1,1,37.46285714
10/21/2020,4,Compact,9.46,13.1783,2,1,-10.21176471
10/21/2020,4,Control,20.95,13.1783,1,-1,-2.892222222
10/21/2020,4,Marine.Debris,16.935,13.1783,4,2,-6.94
10/21/2020,4,Rake,12.485,13.1783,2,2,-5.295
10/21/2020,5,Compact,33.285,13.1783,2,2,17.547
10/21/2020,5,Control,9.796666667,13.1783,3,3,-6.446666667
10/21/2020,5,Marine.Debris,0,13.1783,0,-1,-24.31
10/21/2020,5,Rake,0,13.1783,0,-1,-11.61666667
10/21/2020,6,Compact,18.48,13.1783,1,0,-7.57875
10/21/2020,6,Control,17.272,13.1783,5,2,-12.102
10/21/2020,6,Marine.Debris,17.93,13.1783,4,1,-6.28375
10/21/2020,6,Rake,20.385,13.1783,4,1,-4.02
10/21/2020,7,Compact,0,13.1783,0,-1,-27.66714286
10/21/2020,7,Control,23.34666667,13.1783,3,-1,1.183666667
10/21/2020,7,Marine.Debris,22.21,13.1783,4,2,2.843
10/21/2020,7,Rake,14.9525,13.1783,4,4,-18.58016667
10/21/2020,8,Compact,19.03666667,13.1783,3,1,-14.49333333
10/21/2020,8,Control,34.485,13.1783,2,0,-0.292142857
10/21/2020,8,Marine.Debris,0,13.1783,0,-3,-22.29
10/21/2020,8,Rake,10.37,13.1783,1,1,-12.786
10/21/2020,9,Compact,22.43,13.1783,1,0,-12.2025
10/21/2020,9,Control,18.94,13.1783,2,-2,4.237142857
10/21/2020,9,Marine.Debris,10.84,13.1783,4,-2,-14.97888889
10/21/2020,9,Rake,32.43666667,13.1783,3,-2,12.06291667
10/21/2020,10,Compact,29.89,13.1783,1,1,11.75333333
10/21/2020,10,Control,10.14,13.1783,1,0,-9.402142857
10/21/2020,10,Marine.Debris,23.186,13.1783,5,3,-0.258
10/21/2020,10,Rake,0,13.1783,0,-1,-19.40818182
