"b1.true","w.lm","w.glm","w.glm.quasi","w.glmm","d.lm","d.glm","d.glm.anova","d.lmm","d.glmm"
0,0.752651544994145,0.377021150830467,0.531224514944264,0.643872273906354,0.733812125746384,0.733004410263543,0.694395718833058,0.938999799097733,0.963974456688643
0,0.397462791754789,0.124434243744851,0.25142478351351,0.228132610650157,0.0560180595332598,0.056911296198838,0.186346092989229,0.0854419470650842,0.0923268655230547
0,0.427870910002221,0.41904908037614,0.573558424879573,0.55548171237695,0.888880559593776,0.888511917956942,0.517462133012276,0.827329120528206,0.800666862063842
0,0.00163346600156809,7.09972679224999e-05,0.00444444648239272,0.0014421762405304,0.00168743537997909,0.00201717798561451,0.52857195066505,0.0301628056706223,0.0386934117268718
0,0.344959997491368,0.105787018748703,0.214639800503218,0.221104500803811,0.0387853792342312,0.0397091477179799,0.135748321268222,0.0646092420269084,0.0682935174958087
0,0.440659233431106,0.514340831703112,0.617731457142224,0.69668462290905,0.404458816155754,0.403514697210522,0.549078557148684,0.488352893614556,0.483843313635716
0,0.225450899079494,0.109580433228343,0.330423242180498,0.353808486243524,0.219782214992839,0.219661497849813,0.804697751839331,0.529339202386298,0.580037573469047
0,0.962392616135524,0.758607375961222,0.838637044313263,0.838939285658335,0.63491982604663,0.633927429033223,0.258599377273417,0.415146658158052,0.458897056741106
0,0.944352967926566,0.812689892909956,0.865429350462396,0.997213044986641,0.145764281920854,0.146085316844128,0.041212480980875,0.0982912625187864,0.0998667947280567
0,0.403079656618241,0.363541261709088,0.543697107979839,0.495895613740296,0.83921966474116,0.83869689283952,0.196956174120956,0.447622262069302,0.43255146298543
0,0.482246783563187,0.181072213444248,0.350964899351575,0.328450771955101,0.345422868695603,0.344666153064689,0.943765012940187,0.568191959497586,0.578428060357385
0,0.882083220525895,0.562210797638808,0.693115484880634,0.74425917071514,0.299169424210188,0.298565823812179,0.290068902592728,0.305236016127484,0.313071122517566
0,0.0331039632483835,0.00135831021679021,0.0217272342311401,0.0124068693141637,0.000795630449400797,0.000985760089203096,0.0785506514789698,0.00586308033182652,0.00664982496688219
0,0.241485900726976,0.0291354229942762,0.144461531468543,0.131294963434817,0.109058697140641,0.109607673842688,0.839553697870965,0.357005984137455,0.377245582026166
0,0.236520616510088,0.194820185251951,0.335793939335821,0.313890133109167,0.229461274433727,0.229214879857271,0.613363276055034,0.338690098366374,0.358232113269884
0,0.901591388345183,0.868580065944834,0.922633327785341,0.951996345927174,0.473477950336062,0.472433172453781,0.137651012704519,0.20666115098889,0.229877924017743
0,0.568947216781852,0.68442753734294,0.749970679538624,0.734717982638775,0.607080796964836,0.606056686775312,0.234100783146609,0.464028767357564,0.458617849999153
0,0.154268069592987,0.132452707987529,0.234748719366435,0.225155943624286,0.630445071308145,0.629448305978966,0.419237235264547,0.953921073843443,0.97680008090228
