"b1.true","P.pgls","P.lm","pgls.boot0"
0,0.112987764682816,0.54441061445116,0
0,0.298004653277079,0.666652288050462,0
0,0.192397329897556,0.784867911752199,0
0,0.863071578583989,0.107920596321133,0
0,0.273229707429132,0.436715669337645,0
0,0.234312726586059,0.232922841270557,0
0,0.17604565408164,0.800408862817454,0
0,0.461801511588308,0.951942286823602,0
0,0.0330948131363088,0.0800642405749033,1
0,0.454032219512809,0.390802432039539,0
0,0.591230354023172,0.927599388331844,0
0,0.449913535958892,0.115270418074398,0
0,0.232781011859179,0.592113445878749,0
0,0.687466893096328,0.522904782323452,0
0,0.902269789823715,0.860763127768331,0
0,0.297665818474537,0.596583641919596,0
0,0.0789314056524393,0.0834895050375635,0
0,0.691524156146599,0.517555247782174,0
0,0.237250079848583,0.905510865735107,0
0,0.532065353507842,0.89462096641885,0
0,0.675455690341977,0.362729597724688,0
0,0.433144000884039,0.357122788997633,0
0,0.405172353901659,0.225402765219883,0
0,0.023798245313754,0.157650845310959,1
0,0.491118261244559,0.556955063817086,0
0,0.761658687634799,0.226218607045379,0
0,0.457125744949909,0.893193250620108,0
0,0.994074570098131,0.474740113265986,0
0,0.394957788378492,0.919805728724744,0
0,0.797593436439175,0.100580330562519,0
0,0.474731600061784,0.355843172177787,0
0,0.412793524779528,0.783478386817166,0
0,0.887688561600965,0.743752888013921,0
0,0.912752953113328,0.604189285395152,0
0,0.182751993014868,0.96823019861265,0
0,0.365980874749004,0.832384098199645,0
0,0.430102745323541,0.265937619176434,0
0,0.417092588171517,0.21858359877146,0
0,0.778035630611108,0.863970901840263,0
0,0.0325522714947053,0.699944098276849,1
0,0.328133868489007,0.711143556224022,0
0,0.976485920156796,0.757224230371546,0
0,0.252675262493841,0.55494904925602,0
0,0.261775320939093,0.821580360820026,0
0,0.634792958472333,0.417689000967685,0
0,0.988936566190612,0.419566493230342,0
0,0.0515697725921016,0.00636278177197143,1
0,0.252635977239213,0.586029452510015,0
0,0.12027389000746,0.323356296741738,0
0,0.846481533738978,0.431071026027134,0
0,0.698647087234693,0.60935564442183,0
0,0.760851021230609,0.913258206298385,0
0,0.72889076782584,0.569117015065736,0
0,0.425381019028357,0.0855656821380035,0
0,0.811107179970252,0.162127170195346,0
0,0.616377754832822,0.845511454141161,0
0,0.843595347012067,0.739810631815589,0
0,0.421255837969372,0.906196414600215,0
0,0.480599284175418,0.902815011830049,0
0,0.513589651856319,0.957958283222377,0
0,0.31322043832525,0.43965670875666,0
0,0.170879908717793,0.726999746534998,0
0,0.0364511665478898,0.507728026105682,1
0,0.773255937135717,0.778256507886673,0
0,0.124130784993975,0.0276660634436222,0
0,0.57373781277021,0.289791696213491,0
0,0.00833264137550764,0.694861691925072,1
0,0.320251961501379,0.582990658393131,0
0,0.393587560074615,0.507567957935066,0
0,0.188238520421633,0.900081156283123,0
0,0.113663903198206,0.619851455449951,0
0,0.202301858957832,0.160044444024086,0
0,0.636463570809868,0.181700937024121,0
0,0.726947975938,0.785709694481398,0
0,0.951957351955484,0.795918205083282,0
0,0.361730535741061,0.768651571227111,0
